Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Silky Straight HD Lace Glueless Wig,silky-straight-hd-lace-glueless-wig,"<p>Upgrade your look with the <strong>Silky Straight HD Lace Glueless Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Straight</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,HD Lace Wig,"100% Human Hair, HD Lace Wig, Straight, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-001-STRA-18,7291000000012,Length,18 inch,,Color,Natural Black,,,,,189.99,239.99,82.00,True,,,,,,shopify,43,DENY,350,g,True,manual,,,,,False,Silky Straight HD Lace Glueless Wig | Premium 100% Human Hair,"Shop silky straight hd lace glueless wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-001-STRA-18,HD Lace Wig,Straight,New,False,Human Hair,HD Lace Wig,Straight,Premium,In Stock
Body Wave 13x4 HD Lace Front Wig,body-wave-13x4-hd-lace-front-wig,"<p>Upgrade your look with the <strong>Body Wave 13x4 HD Lace Front Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Body Wave</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Lace Front Wig,"100% Human Hair, Lace Front Wig, Body Wave, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-002-BODY-20,7291000000029,Length,20 inch,,Color,Natural Black,,,,,199.99,259.99,88.00,True,,,,,,shopify,44,DENY,350,g,True,manual,,,,,False,Body Wave 13x4 HD Lace Front Wig | Premium 100% Human Hair,"Shop body wave 13x4 hd lace front wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-002-BODY-20,Lace Front Wig,Body Wave,New,False,Human Hair,Lace Front Wig,Body Wave,Premium,In Stock
Deep Wave Pre-Plucked Glueless Wig,deep-wave-pre-plucked-glueless-wig,"<p>Upgrade your look with the <strong>Deep Wave Pre-Plucked Glueless Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Deep Wave</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Glueless Wig,"100% Human Hair, Glueless Wig, Deep Wave, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-003-DEEP-20,7291000000036,Length,20 inch,,Color,Natural Black,,,,,209.99,269.99,92.00,True,,,,,,shopify,73,DENY,350,g,True,manual,,,,,False,Deep Wave Pre-Plucked Glueless Wig | Premium 100% Human Hair,"Shop deep wave pre-plucked glueless wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-003-DEEP-20,Glueless Wig,Deep Wave,New,False,Human Hair,Glueless Wig,Deep Wave,Premium,In Stock
Water Wave 5x5 Closure Wig,water-wave-5x5-closure-wig,"<p>Upgrade your look with the <strong>Water Wave 5x5 Closure Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Water Wave</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Closure Wig,"100% Human Hair, Closure Wig, Water Wave, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-004-WATE-18,7291000000043,Length,18 inch,,Color,Natural Black,,,,,179.99,229.99,78.00,True,,,,,,shopify,25,DENY,180,g,True,manual,,,,,False,Water Wave 5x5 Closure Wig | Premium 100% Human Hair,"Shop water wave 5x5 closure wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-004-WATE-18,Closure Wig,Water Wave,New,False,Human Hair,Closure Wig,Water Wave,Premium,In Stock
Kinky Curly HD Lace Front Wig,kinky-curly-hd-lace-front-wig,"<p>Upgrade your look with the <strong>Kinky Curly HD Lace Front Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Kinky Curly</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Lace Front Wig,"100% Human Hair, Lace Front Wig, Kinky Curly, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-005-KINK-20,7291000000050,Length,20 inch,,Color,Natural Black,,,,,219.99,279.99,96.00,True,,,,,,shopify,34,DENY,350,g,True,manual,,,,,False,Kinky Curly HD Lace Front Wig | Premium 100% Human Hair,"Shop kinky curly hd lace front wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-005-KINK-20,Lace Front Wig,Kinky Curly,New,False,Human Hair,Lace Front Wig,Kinky Curly,Premium,In Stock
Loose Deep Wave Glueless Lace Wig,loose-deep-wave-glueless-lace-wig,"<p>Upgrade your look with the <strong>Loose Deep Wave Glueless Lace Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Loose Deep Wave</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Glueless Wig,"100% Human Hair, Glueless Wig, Loose Deep Wave, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-006-LOOS-20,7291000000067,Length,20 inch,,Color,Natural Black,,,,,214.99,274.99,94.00,True,,,,,,shopify,79,DENY,350,g,True,manual,,,,,False,Loose Deep Wave Glueless Lace Wig | Premium 100% Human Hair,"Shop loose deep wave glueless lace wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-006-LOOS-20,Glueless Wig,Loose Deep Wave,New,False,Human Hair,Glueless Wig,Loose Deep Wave,Premium,In Stock
Natural Wave 4x4 Closure Wig,natural-wave-4x4-closure-wig,"<p>Upgrade your look with the <strong>Natural Wave 4x4 Closure Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Natural Wave</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Closure Wig,"100% Human Hair, Closure Wig, Natural Wave, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-007-NATU-18,7291000000074,Length,18 inch,,Color,Natural Black,,,,,169.99,219.99,74.00,True,,,,,,shopify,23,DENY,180,g,True,manual,,,,,False,Natural Wave 4x4 Closure Wig | Premium 100% Human Hair,"Shop natural wave 4x4 closure wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-007-NATU-18,Closure Wig,Natural Wave,New,False,Human Hair,Closure Wig,Natural Wave,Premium,In Stock
Yaki Straight Wear & Go Wig,yaki-straight-wear-and-go-wig,"<p>Upgrade your look with the <strong>Yaki Straight Wear &amp; Go Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Yaki Straight</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Glueless Wig,"100% Human Hair, Glueless Wig, Yaki Straight, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-008-YAKI-18,7291000000081,Length,18 inch,,Color,Natural Black,,,,,194.99,249.99,85.00,True,,,,,,shopify,82,DENY,350,g,True,manual,,,,,False,Yaki Straight Wear & Go Wig | Premium 100% Human Hair,"Shop yaki straight wear & go wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-008-YAKI-18,Glueless Wig,Yaki Straight,New,False,Human Hair,Glueless Wig,Yaki Straight,Premium,In Stock
Jerry Curly 13x4 Lace Front Wig,jerry-curly-13x4-lace-front-wig,"<p>Upgrade your look with the <strong>Jerry Curly 13x4 Lace Front Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Jerry Curly</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Lace Front Wig,"100% Human Hair, Lace Front Wig, Jerry Curly, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-009-JERR-20,7291000000098,Length,20 inch,,Color,Natural Black,,,,,224.99,289.99,98.00,True,,,,,,shopify,39,DENY,350,g,True,manual,,,,,False,Jerry Curly 13x4 Lace Front Wig | Premium 100% Human Hair,"Shop jerry curly 13x4 lace front wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-009-JERR-20,Lace Front Wig,Jerry Curly,New,False,Human Hair,Lace Front Wig,Jerry Curly,Premium,In Stock
Bone Straight HD Lace Wig,bone-straight-hd-lace-wig,"<p>Upgrade your look with the <strong>Bone Straight HD Lace Wig</strong>, crafted from premium 100% human hair for a soft, natural finish and long-lasting wear.</p><ul><li>Texture: Bone Straight</li><li>Natural-looking movement and shine</li><li>Soft, tangle-resistant feel with proper care</li><li>Heat-style friendly</li><li>Designed for comfortable everyday wear</li></ul><p>Perfect for effortless styling, special occasions, and everyday confidence.</p>",Wiggins Hair,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,HD Lace Wig,"100% Human Hair, HD Lace Wig, Bone Straight, Natural Black, Premium Hair, Women, Best Quality, Ready to Style",True,Active,WH-010-BONE-22,7291000000104,Length,22 inch,,Color,Natural Black,,,,,229.99,299.99,102.00,True,,,,,,shopify,72,DENY,350,g,True,manual,,,,,False,Bone Straight HD Lace Wig | Premium 100% Human Hair,"Shop bone straight hd lace wig made with premium 100% human hair. Natural-looking, soft, versatile and comfortable for everyday styling.",Natural Black,Health & Beauty > Personal Care > Hair Care > Wigs & Hairpieces,Female,Adult,WH-010-BONE-22,HD Lace Wig,Bone Straight,New,False,Human Hair,HD Lace Wig,Bone Straight,Premium,In Stock
